Index,RunSuccess
0,1
1,0
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,1
